resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,pitstopId
186,26,16,10,20,18,\N,R,18,0.0,10,\N,\N,5,18,1:38.160,188.545,20,16_26
187,26,20,5,15,8,\N,R,19,0.0,0,\N,\N,\N,\N,\N,\N,4,20_26
188,26,14,9,9,11,\N,R,20,0.0,0,\N,\N,\N,\N,\N,\N,4,14_26
189,27,1,1,22,1,1,1,1,10.0,67,1:31:20.874,5480874,17,2,1:16.039,216.552,1,1_27
190,27,12,4,6,17,2,2,2,8.0,67,+5.586,5486460,66,9,1:16.910,214.099,1,12_27
191,27,13,6,2,2,3,3,3,6.0,67,+9.339,5490213,19,5,1:16.502,215.241,1,13_27
192,27,2,2,3,12,4,4,4,5.0,67,+9.825,5490699,52,1,1:15.987,216.700,1,2_27
193,27,5,1,23,3,5,5,5,4.0,67,+12.411,5493285,63,4,1:16.495,215.261,1,5_27
194,27,8,6,1,6,6,6,6,3.0,67,+14.403,5495277,66,3,1:16.342,215.692,1,8_27
195,27,9,2,4,7,7,7,7,2.0,67,+22.682,5503556,17,6,1:16.610,214.937,1,9_27
196,27,20,5,15,9,8,8,8,1.0,67,+33.299,5514173,20,8,1:16.772,214.484,1,20_27
197,27,15,7,11,4,9,9,9,0.0,67,+37.158,5518032,17,12,1:17.023,213.785,1,15_27
198,27,3,3,7,13,10,10,10,0.0,67,+37.625,5518499,34,15,1:17.380,212.799,1,3_27
199,27,4,4,5,5,11,11,11,0.0,67,+38.600,5519474,17,13,1:17.115,213.530,1,4_27
200,27,7,5,14,15,12,12,12,0.0,67,+39.111,5519985,63,10,1:16.969,213.935,1,7_27
201,27,14,9,9,10,13,13,13,0.0,67,+54.971,5535845,18,11,1:16.994,213.866,1,14_27
202,27,6,3,8,16,14,14,14,0.0,67,+1:00.003,5540877,23,17,1:17.691,211.947,1,6_27
203,27,16,10,20,19,15,15,15,0.0,67,+1:09.488,5550362,66,18,1:17.889,211.408,1,16_27
204,27,21,10,21,20,16,16,16,0.0,67,+1:24.093,5564967,67,20,1:18.208,210.546,1,21_27
205,27,18,11,16,14,17,17,17,0.0,66,\N,\N,56,16,1:17.636,212.097,11,18_27
206,27,22,11,17,18,\N,R,18,0.0,50,\N,\N,30,19,1:17.986,211.145,4,22_27
207,27,17,9,10,8,\N,R,19,0.0,40,\N,\N,20,14,1:17.206,213.278,5,17_27
208,27,10,7,12,11,\N,R,20,0.0,35,\N,\N,24,7,1:16.712,214.652,22,10_27
209,28,5,1,23,2,1,1,1,10.0,70,1:37:27.067,5847067,19,7,1:21.753,192.917,1,5_28
210,28,10,7,12,5,2,2,2,8.0,70,+11.061,5858128,42,6,1:21.671,193.111,1,10_28
211,28,8,6,1,6,3,3,3,6.0,70,+16.856,5863923,61,1,1:21.195,194.243,1,8_28
